UTDANNINGTYPEAHEAD,UTDANNING
Akt,Aktivit%C3%B8r+Vg2
%C3%98ko,%C3%98konomisk-administrative+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Utd,Utdanning+i+pedagogikk+annen+uspesifisert+lavere+niv%C3%A5
F%C3%B8r,F%C3%B8rskole-%2Fbarnehagel%C3%A6rerutdanning+uspesifisert+lavere+niv%C3%A5
Arb,Arbeidslederutdanning+for+yrkesfagarbeidere
Vid,Videreutdanning+for+ingeni%C3%B8rer+bygg-+og+anleggsfag
Mar,Maritim+h%C3%B8gskole+skipsadministrativ+linje
Fis,Fiske+og+fangst+Vg2
Fis,Fiske+og+fangst+to%C3%A5rig+grunnkurs
Ele,Elektromekaniske+fag+VK+I
Kje,Kjemi-+og+prosessfag+grunnkurs
Lab,Laboratoriefag+Vg2
Lab,Laboratoriefaget+Vg3
H%C3%B8g,H%C3%B8gskolekandidat+natur-+og+milj%C3%B8fag+to%C3%A5rig
Bac,Bachelor+milj%C3%B8+og+ressursfag+naturvitenskapelig+retning+tre%C3%A5rig
Ing,Ingeni%C3%B8rutdanning+bioingeni%C3%B8r+to%C3%A5rig
Int,Interi%C3%B8r-+og+dekorat%C3%B8rutdanning+uspesifisert+lavere+niv%C3%A5
Sos,Sosialmedisin+lavere+niv%C3%A5
Tan,Tannpleier+to%C3%A5rig
Tek,Teknisk+fagskole+linje+for+bil+og+motorteknikk
But,Butikkslakterfaget+Vg3
San,Sang-+og+musikkutdanning+uspesifisert+lavere+niv%C3%A5
Can,Cand.mag.-utdanning+humanistiske+og+estetiske+fag
Mat,Matematikk+lavere+niv%C3%A5
Ped,Pedagogikk+uspesifisert+h%C3%B8yere+niv%C3%A5
H%C3%A5r,H%C3%A5r-+og+skj%C3%B8nnhetspleie+uspesifisert+videreg%C3%A5ende+grunnutdanning
Lan,Landbruk+Vg3
Nat,Naturbruk+(studieforberedende)+Vg3
Int,Internasjonal+markedsf%C3%B8ring+lavere+niv%C3%A5
Mek,Mekaniske+prosessfag+VK+I
Ski,Skipsteknisk+drift+VK+I
Fag,Fagskoleutdanning+skipsteknisk+drift
For,Forkurs+for+ingeni%C3%B8rh%C3%B8gskole+fylkeskommunalt
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+petroleumsteknologi+tre%C3%A5rig
Mas,Master+of+Science+petroleum+geosciences+to%C3%A5rig
Bac,Bachelor+IT-st%C3%B8ttet+bedriftsutvikling+tre%C3%A5rig
Siv,Sivilingeni%C3%B8rutdanning+teknisk+kybernetikk
Int,Interi%C3%B8rdesigner+videreg%C3%A5ende+grunnutdanning
Men,Menighetsarbeid+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Can,Cand.philol.-utdanning+historie
Rei,Reiseliv+videreg%C3%A5ende+fagkurs
Kje,Kjemiske+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Med,Medisin+andre+uspesifisert+lavere+niv%C3%A5
Nat,Naturvitenskapelige+fag+h%C3%A5ndverksfag+og+tekniske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Ind,Industritekstilfaget+farging+trykking+og+etterbehandling+Vg3
Hot,Hotell-+og+n%C3%A6ringsmiddelfag+grunnkurs
Kok,Kokkfag+VK+I
Hel,Helsearbeiderfag+Vg2
Met,Metode+lavere+niv%C3%A5
Tek,Tekniske+fag+og+allmennfag+tre%C3%A5rig+kurs
Kje,Kjemilaboranter+to%C3%A5rig+grunnkurs
Kje,Kjemiprosess+Vg2
Tek,Teknisk+tegning+to%C3%A5rig+grunnkurs
Rei,Reiseservice-+og+resepsjonsfag+VK+I
Bil,Bildende+kunst+og+kunsth%C3%A5ndverk+andre+uspesifiserte+lavere+niv%C3%A5
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+lavere+niv%C3%A5
Ped,Pedagogikk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Hel,Helsearbeiderfag+Vg2+grunnkompetanse
Sne,Snekker-+og+trearbeidsfag+videreg%C3%A5ende+grunnutdanning
Bar,Barne-+og+ungdomsarbeiderfaget+Vg3
Spr,Spr%C3%A5kutdanning+annen+uspesifisert+lavere+niv%C3%A5
Kos,Kost+og+ern%C3%A6ring+lavere+niv%C3%A5
Ser,Service+og+samferdsel+Vg1
Jou,Journalistikk+og+media+ett%C3%A5rig
Mas,Master+innovation+management+ett%C3%A5rig
Gym,Gymnasutdanning+deleksamen
Bok,Bok-+og+bibliotekutdanning+to%C3%A5rig+grunnkurs
Kon,Kontorpersonale+for+helseinstitusjoner
Mas,Master+historie+to%C3%A5rig
Sek,Sekret%C3%A6rutdanning+videreg%C3%A5ende+grunnutdanning
Kon,Kontorfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Bed,Bedrifts%C3%B8konomi+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Can,Cand.real.-utdanning+kjemi
Fen,Fengselskolen+to%C3%A5rig
Kul,Kulturutdanning+uspesifisert+lavere+niv%C3%A5
