UTDANNINGTYPEAHEAD,UTDANNING
Dr.,Dr.scient.-utdanning+medisin
Mas,Master+digitale+medier+to%C3%A5rig
Utd,Utdanning+i+afrikanske+spr%C3%A5k+uspesifisert+videreg%C3%A5ende+grunnutdanning
His,Historieutdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Mat,Matematikk+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fys,Fysiske+fag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+linje+for+petroleumsteknologi+to%C3%A5rig
Met,Metallurgiske+prosessfag+VK+II
Fag,Fagskoleutdanning+dykking+ett%C3%A5rig
Mag,Mag.art.-utdanning+historiefag
H%C3%B8g,H%C3%B8gskolekandidat+interi%C3%B8rarkitektur+og+m%C3%B8beldesign+tre%C3%A5rig
Bac,Bachelor+samfunnsanalyse+tre%C3%A5rig
Mas,Master+endringsledelse+to%C3%A5rig
Mei,Meieriindustri+VK+II
H%C3%B8g,H%C3%B8gskolekandidat+%C3%B8konomi+og+informatikk+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+kj%C3%B8kken-+og+restaurantledelse+to%C3%A5rig
Pol,Politifag+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+jordskifte+to%C3%A5rig
Bac,Bachelor+geomatikk+tre%C3%A5rig
Fag,Fagskoleutdanning+BIM+installasjon+ett%C3%A5rig
Rei,Reindrift+Vg2
Bac,Bachelor+middelalderstudier+tre%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+kropps%C3%B8ving+to%C3%A5rig
Tre,Trelastfag+to%C3%A5rig+kurs
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+teknsik+design+tre%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+offentlig+administrasjon+tre%C3%A5rig
F%C3%B8r,F%C3%B8rtrykk+VK+II
Dr.,Dr.scient.-utdanning+naturgeografi
Han,Handel+uspesifisert+h%C3%B8yere+niv%C3%A5
Fag,Fagskoleutdanning+billedkunst+ett%C3%A5rig
Mas,Master+billedkunst+to%C3%A5rig
Can,Cand.scient.-utdanning+mekanikk
Bac,Bachelor+spr%C3%A5k+og+%C3%B8konomi+tre%C3%A5rig
Mas,Master+filmvitenskap+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+kl%C3%A6r+og+kostymer+tre%C3%A5rig
Vet,Veterin%C3%A6r+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+teknologi+organisasjon+og+l%C3%A6ring+to%C3%A5rig
Mas,Master+by-+og+regionplanlegging+fem%C3%A5rig
Dip,Diplomeksport%C3%B8konom+fire%C3%A5rig
Dr.,Dr.psychol.-utdanning+psykologi
Can,Cand.philol.-utdanning+kunsthistorie
Fag,Fagskoleutdanning+3D+animasjon+ett%C3%A5rig
Can,Cand.mag.-utdanning+ern%C3%A6ring
Hov,Hovedfagskandidat+f%C3%B8rskolepedagogikk
H%C3%B8g,H%C3%B8gskolekandidat+medieteknikk+to%C3%A5rig
Lit,Litteraturutdanning+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+ingeni%C3%B8rfag+milj%C3%B8bioteknologi+tre%C3%A5rig
Mas,Master+of+Arts+industrial+design+1+5-%C3%A5rig
Ker,Keramisk+dekor+VK+II
Can,Cand.+philol.-utdanning+sosialantropologiske+fag
Mas,Master+kriminologi+to%C3%A5rig
Tre,Treforedlingsfaget+VK+II
Mas,Master+of+Philosophy+sosialantropologi
Log,Logistikkfaget+Vg3
Bac,Bachelor+fysikk+tre%C3%A5rig
Bac,Bachelor+%C3%B8kologi+og+naturforvaltning+tre%C3%A5rig
Jur,Juridiske+fag+andre+uspesifiserte+forskerutdanning
Try,Trygdefunksjon%C3%A6rer+videreutdanning
Mas,Master+spesialpedagogikk+1+5+%C3%A5rig
Fag,Fagskoleutdanning+nettverk+og+IT-sikkerhet+to%C3%A5rig
Iso,Isolat%C3%B8rfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+digital+kultur+to%C3%A5rig
Bac,Bachelor+helseledelse+og+helse%C3%B8konomi+tre%C3%A5rig
Fag,Fagskoleutdanning+markeds%C3%B8konomi+med+salgsledelse+1+5-%C3%A5rig
Ing,Ingeni%C3%B8rutdanning+mikrobiologi+immunologi+og+patologi+to%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+musikk+fire%C3%A5rig
Mas,Mastergrad+reiselivsfag+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+informatikk+og+matematiske+metoder+tre%C3%A5rig
Tog,Togelektrikerfaget+Vg3
Mas,Master+anvendt+matematikk+mekanikk+og+numerisk+fysikk+to%C3%A5rig
Mas,Master+teknologi+bygg-+og+milj%C3%B8teknikk+to%C3%A5rig
Mas,Master+husdyrfag+to%C3%A5rig
Med,Medisin+uspesifisert+forskerutdanning
Mas,Master+geologi+to%C3%A5rig
Kon,Kontorfag
Can,Cand.polit.-utdanning+sosialfag
Kj%C3%B8,Kj%C3%B8nn+feminisme+og+likestilling+lavere+niv%C3%A5
Fag,Fagskoleutdanning+kontormedarbeider+halv%C3%A5rig
Fag,Fagskoleutdanning+nettverks-+og+systemadministrasjon+ett%C3%A5rig
Mas,Master+teknologi+innovasjon+og+kunnskap+to%C3%A5rig
Byg,Bygg-+og+anleggsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%A5r,H%C3%A5r-+og+skj%C3%B8nnhetspleie+uspesifisert+lavere+niv%C3%A5
Bac,Bachelor+italiensk+tre%C3%A5rig
Can,Cand.philol.-utdanning+portugisisk
H%C3%B8g,H%C3%B8gskolekandidat+medieteknikk+tre%C3%A5rig
Vei,Vei-+og+anleggsfaget+Vg3
Ser,Servit%C3%B8r+uspesifisert+lavere+niv%C3%A5
Mas,Master+voksenpedagogikk+1+5-+%C3%A5rig
Gj%C3%B8,Gj%C3%B8rtlerfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Mas,Master+teknologi+produksjonsteknologi+to%C3%A5rig
Fje,Fjernstyrte+undervannsoperasjoner+Vg3
Hot,Hotell-+og+reiselivsfag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+medieteknikk+tre%C3%A5rig
Ele,Elektrofag+Vg1+grunnkompetanse
Tos,Tospr%C3%A5klighetspedagogikk+lavere+niv%C3%A5
Fag,Fagskoleutdanning+markeds%C3%B8konomi
Sam,Samferdsels-+og+sikkerhetsfag+og+andre+servicefag+andre+uspesifiserte+lavere+niv%C3%A5
Mas,Master+of+Science+arkitektur+to%C3%A5rig
Mag,Mag.art.-utdanning+id̩historie
Vid,Videreutdanning+terapeutiske+fag
Des,Design+og+h%C3%A5ndverk+Vg1+grunnkompetanse
Mas,Master+of+Philosophy+peace+and+conflict+transformation+to%C3%A5rig
Bar,Barnevernlinje+ved+sosialskole+to%C3%A5rig
Fag,Fagskoleutdanning+motekonsulent
Spr,Spr%C3%A5kvitenskapelig+utdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Lic,Lic.agric.-utdanning+tekniske+fag+ellers
Dok,Doktorgradsutdanning+estetiske+fag
Vid,Videreutdanning+fysikk
For,Forskerutdanning+uspesifisert+fagfelt
Mas,Master+internasjonale+studier+to%C3%A5rig
B%C3%B8r,B%C3%B8rsemaker+Vg2
Veg,Vegtrafikkfag+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Can,Cand.real.-utdanning+matematiske+fag
Vid,Videreutdanning+for+yrkesfagl%C3%A6rere+uspesifisert
H%C3%B8g,H%C3%B8gskolekandidat+ern%C3%A6ring+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+milj%C3%B8teknologi+tre%C3%A5rig
Can,Cand.polit.-utdanning+helsefag
Mas,Master+of+Science+European+logistics+transport+and+distribution+1+5-%C3%A5rig
Mas,Master+of+Philosophy+inorganic+structural+chemistry+to%C3%A5rig
Can,Cand.musicae.-utdanning+uspesifisert
Gru,Grunnskolel%C3%A6rerutdanning+5.-10.+trinn+fire%C3%A5rig
Fag,Fagskoleutdanning+markeds%C3%B8konomi+ett%C3%A5rig
Des,Design+og+trearbeid+Vg2
Can,Cand.scient.-utdanning+cellebiologi+for+medisinsk%2Fteknisk+personell
H%C3%B8g,H%C3%B8gskolekandidat+bioteknologi+tre%C3%A5rig
Gen,Generelle+programmer+uspesifiserte+lavere+niv%C3%A5
Hum,Humanbiologi+lavere+niv%C3%A5
Mas,Master+bioteknologi+fem%C3%A5rig
Ph.,Ph.d.-program+kjemisk+prosessteknologi
Bac,Bachelor+landm%C3%A5ling+og+eiendomsdesign+tre%C3%A5rig
Mas,Master+lektorutdanning+realfag+fem%C3%A5rig
Dr.,Dr.philos.-utdanning+biologiske+fag
Fag,Fagl%C3%A6rerutdanning+handels-+og+kontorfag+fire%C3%A5rig
Mas,Master+IKT+i+l%C3%A6ring+to%C3%A5rig
Kul,Kulturutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+fengselsbetjentutdanning+to%C3%A5rig
Bac,Bachelor+fagl%C3%A6rerutdanning+dans+tre%C3%A5rig
Mas,Master+logopedi+to%C3%A5rig
Dr.,Dr.philos.-utdanning+medisin
End,Endokrinolog+spesialistutdanning+for+leger
Inf,Infeksjonssykdommer+spesialistutdanning+for+leger
Med,Medisinsk+mikrobiologi+spesialistutdanning+for+leger
Dr.,Dr.techn.-utdanning+bygge-+og+anleggstekniske+fag
%C3%98ko,%C3%98konomiske+og+administrative+fag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Mas,Master+norsk%2Fnordisk+to%C3%A5rig
Sam,Samfunnsgeografi+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Kun,Kunstfagkandidat+tekstil+hovedfag
Bac,Bachelor+kystsoneforvaltning+tre%C3%A5rig
Kon,Kondukt%C3%B8rutdanning+jernbane
Dr.,Dr.polit.-utdanning+statsvitenskapelige+fag
Bac,Bachelor+midt%C3%B8stenkunnskap+tre%C3%A5rig
Pia,Pianostemming+og+pianoteknikk+Vg2
Pia,Pianostemming+og+pianoteknikk+Vg3
Hel,Helse-+sosial-+og+idrettsfag+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Med,Media+og+kommunikasjon+uspesifisert+lavere+niv%C3%A5
Erg,Ergoterapi+uspesifisert+lavere+niv%C3%A5
Jou,Journalistikk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Sta,Statsvitenskapelige+fag+uspesifiserte+h%C3%B8yere+niv%C3%A5
Bac,Bachelor+landskapsplanlegging+tre%C3%A5rig
Mas,Master+fysisk+planlegging+to%C3%A5rig
Fag,Fagskoleutdanning+spesialpedagogikk+og+flerkulturelt+arbeid+ett%C3%A5rig
Ska,Skatterevisorutdanning+2.+avd.
Sko,Skogbruk+lavere+niv%C3%A5
Asp,Aspirantkurs+for+utenrikstjenesten
Siv,Sivilingeni%C3%B8rutdanning+metallurgi
And,Andre+servicefag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mal,Maleri+fire%C3%A5rig
Kun,Kunstfagkandidat+form+hovedfag
Hov,Hovedfagskandidat+helsefag+studieretning+logopedi
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+maritim+tre%C3%A5rig
Fil,Filosofi+og+etikk+uspesifisert+h%C3%B8yere+niv%C3%A5
Mil,Milj%C3%B8teknologi+lavere+niv%C3%A5
Dr.,Dr.art.-utdanning+estetiske+fag
Mas,Master+teknologi+petroleumsteknologi+fem%C3%A5rig
Dr.,Dr.philos.-utdanning+biokjemi
Fag,Fagskoleutdanning+regnskap+og+%C3%B8konomi+ett%C3%A5rig
Can,Cand.scient.-utdanning+statistikk
H%C3%B8g,H%C3%B8gskolekandidat+kulturarbeid+tre%C3%A5rig
Fag,Fagskoleutdanning+havbunnsinstallasjoner+to%C3%A5rig
M%C3%B8b,M%C3%B8beltapetserer+videreg%C3%A5ende+avsluttende+utdanning
Can,Cand.agric.-utdanning+naturforvaltning
Fag,Fagskoleutdanning+film-og+TV-produksjon
Ski,Skipsf%C3%B8rerutdanning
Gas,Gastroenterologisk+kirurgi+spesialistutdanning+for+leger
Nat,Naturopati
Can,Cand.philol.-utdanning+bulgarsk
Fag,Fagskoleutdanning+matteknikk+to%C3%A5rig
Fag,Fagskoleutdanning+administrasjonssekret%C3%A6r+ett%C3%A5rig
Can,Cand.philol.-utdanning+musikkvitenskap
Dr.,Dr.ing.-utdanning+maskinfag
Dir,Dirigentutdanning+videreg%C3%A5ende+avsluttende+utdanning
Mas,Master+teknologi+prosjektledelse+to%C3%A5rig
Mas,Master+of+Business+Administration+hotell-+og+reiselivsadministrasjon
Mat,Materialteknikk+lavere+niv%C3%A5
H%C3%B8g,H%C3%B8gskolekandidat+kirkemusikk+tre%C3%A5rig
Gru,Grunnskolel%C3%A6rerutdanning+1.-7.+trinn+fire%C3%A5ri
Lan,Landskapsforvaltning+og+planlegging+tre%C3%A5rig
Dr.,Dr.agric.-utdanning+prim%C3%A6rn%C3%A6ringsfag+andre
Can,Cand.philol.-utdanning+journalistikk
Isl,Islandsk+lavere+niv%C3%A5
Utd,Utdanning+i+klassiske+spr%C3%A5k+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Tra,Translat%C3%B8rutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bib,Bibliotekutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+IT-administrasjon+tre%C3%A5rig
Fag,Fagskoleutdanning+helse+aldring+og+aktiv+omsorg+ett%C3%A5rig
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanning+uspesifisert+videreg%C3%A5ende+grunnutdanning
Bac,Bachelor+reindriftsfag+tre%C3%A5rig
Pra,Praktisk-pedagogisk+utdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Br%C3%B8,Br%C3%B8nnfaget+kabeloperasjoner+VK+II
Mas,Master+of+Science+IT+management+1+5-%C3%A5rig
Dr.,Dr.philos.-utdanning+spr%C3%A5kfag
Utd,Utdanning+i+pedagogikk+annen+uspesifisert+h%C3%B8yere+niv%C3%A5
Sos,Sosiologiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Kat,Kateketutdanning+fire%C3%A5rig
Per,Persisk+lavere+niv%C3%A5
Mas,Master+sosialt+arbeid+to%C3%A5rig
Bac,Bachelor+litteratur+film+og+teater+tre%C3%A5rig
Dr.,Dr.scient.-utdanning+geofysikk
Mas,Master+mangfold+og+inkludering+i+pedagogisk+virksomhet+to%C3%A5rig
Can,Cand.polit.-utdanning+offentlig+politikk+og+administrasjon
%C3%98ko,%C3%98kologisk+landbruk+VK+II
Mas,Master+antikke+studier+to%C3%A5rig
Dr.,Dr.art.-utdanning+spr%C3%A5kfag
Mas,Master+spansk+spr%C3%A5k+og+latinamerikastudier+to%C3%A5rig
Dr.,Dr.scient.-utdanning+fysioterapi
Mas,Master+utviklingsledelse+og+-administrasjon+to%C3%A5rig
P%C3%A5b,P%C3%A5bygging+for+ingeni%C3%B8rer+vedlikeholds-+og+sikkerhetsteknologi
Fag,Fagskoleutdanning+kurs+for+mesterbrevskandidater
Vid,Videreutdanning+for+helse-+og+sosialsektoren+gruppemetode
Mas,Master+of+Philosophy+medisinske+fag
Med,Medisin+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Kul,Kulturvitenskap+lavere+niv%C3%A5
Can,Cand.scient.-utdanning+matematiske+fag
Ph.,Ph.d.-program+medisinsk+biologi
Vid,Videreutdanning+i+sykepleie+%C3%B8yesykepleie
Mas,Master+of+Philosophy+English+Linguistics
Fre,Frelsesarmeens+offisersskole+to%C3%A5rig
Dip,Diplom%C3%B8konom+varehandel+tre%C3%A5rig
Mat,Matematikk+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+fiskeri-+og+akvakultur+tre%C3%A5rig
Bok,Bokbinder+VK+I
Can,Cand.philol.-utdanning+etnologi+(folkelivsgransking)
Mas,Master+internasjonal+markedsf%C3%B8ring+og+ledelse+to%C3%A5rig
Fei,Feierfaget+Vg2+og+Vg3+s%C3%A6rl%C3%B8p
Ph.,Ph.d.-program+materialteknologi
Mas,Master+teknologi+materialteknologi+to%C3%A5rig
Mas,Master+higher+education+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+natur-+helse-+og+milj%C3%B8vernfag+basisstudium+to%C3%A5rig
Mas,Master+of+Science+mathematics+to%C3%A5rig
Dip,Diplommarkedsf%C3%B8rer+markedsf%C3%B8ring+internasjonalisering+og+ledelse
Mas,Master+sport+sciences+-+exercise+physiology+to%C3%A5rig
Tek,Teknisk+fagskole+linje+for+driftsteknikk+to%C3%A5rig
Mas,Master+teknologi+undervannsteknologi+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+industridesign+tre%C3%A5rig
Can,Cand.polit.-utdanning+sosialt+arbeid
Tek,Teknisk+fagskole+linje+for+mekatronikk
Ark,Arkitektur+uspesifisert+forskerutdanning
Vid,Videreutdanning+for+hjelpepleiere+og+omsorgsarbeidere+psykisk+helsearbeid
TV-,TV-fotograf+videreg%C3%A5ende+grunnutdanning
Mas,Master+organisasjon+ledelse+og+arbeid+to%C3%A5rig
Mas,Master+forurensningsfag+to%C3%A5rig
Ph.,Ph.d.-program+bioteknologi
Bac,Bachelor+arbeids-+og+velferdsforvaltning+tre%C3%A5rig
Bac,Bachelor+folkekunstutdanning+tre%C3%A5rig
Aud,Audiografutdanning+to%C3%A5rig
Bac,Bachelor+marinteknisk+drift+tre%C3%A5rig
Spr,Spr%C3%A5kutdanning+annen+uspesifisert+videreg%C3%A5ende+grunnutdanning
Kos,Kostholds%C3%B8konom+to%C3%A5rig
Bac,Bachelor+realfag+tre%C3%A5rig
Sam,Samfunnsplanlegging+lavere+niv%C3%A5
Bot,Botanikk+lavere+niv%C3%A5
P%C3%A5b,P%C3%A5bygging+ingeni%C3%B8rutdanning+kjemi
Mas,Master+praktisk+kunnskap+to%C3%A5rig
Mas,Master+fysikk+to%C3%A5rig
Mil,Milj%C3%B8-+og+forurensningsstudier+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bio,Biologiske+fag+andre+uspesifiserte+lavere+niv%C3%A5
Fag,Fagskoleutdanning+visuelle+kunstfag+to%C3%A5rig
Vid,Videreutdanning+i+vernepleie+rusomsorg
Bac,Bachelor+ingeni%C3%B8rfag+produktdesign+tre%C3%A5rig|
Dr.,Dr.philos.-utdanning+historisk-filosofiske+fag
Tol,Tollinspekt%C3%B8rkurs
Mas,Master+of+Science+petroleum+engineering+to%C3%A5rig
Mas,Master+of+Science+mikrobiologi+to%C3%A5rig
Ele,Elektro+uspesifisert+h%C3%B8yere+niv%C3%A5
Bib,Bibliotekutdanning+uspesifisert+lavere+niv%C3%A5
Nat,Naturbruk+Vg1+grunnkompetanse
Can,Cand.scient.-utdanning+marinbiologi
Mas,Master+water+studies+to%C3%A5rig
Hov,Hovedfagskandidat+kristendomskunnskap
H%C3%B8g,H%C3%B8gskolekandidat+offentlig+administrasjon+to%C3%A5rig
Mar,Maritim+kandidat+2+5-%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+fagoversetter+tysk+tre%C3%A5rig
Vid,Videreutdanning+i+sykepleie+onkologisk+sykepleie+(kreftsykepleie)
Vid,Videreutdanning+for+helse-+og+sosialsektoren+psykososialt+arbeid+med+barn+og+unge
Mas,Master+psykososialt+arbeid+-+helse-+og+sosialfaglig+praksis+to%C3%A5rig
Mas,Master+teknologi+datateknikk+to%C3%A5rig
Mas,Master+psykososialt+arbeid+-+selvmord+rus+vold+og+traumer+to%C3%A5rig
Bil,Billakkererfaget+Vg3
Skr,Skriving+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
H%C3%B8g,H%C3%B8gskolekandidat+n%C3%A6ringsmiddelkvalitet+og+-analyse+to%C3%A5rig
Bac,Bachelor+ingeni%C3%B8rfag+mikroteknologi+tre%C3%A5rig
Kra,Kran-+og+l%C3%B8fteoperasjonsfaget+Vg3
Duo,Duodji%2Fsamisk+husflid+videreg%C3%A5ende+avsluttende+utdanning
F%C3%B8d,F%C3%B8dselshjelp+og+kvinnesykdommer+spesialistutdanning+for+leger
Sos,Sosialfag+andre+uspesifiserte+h%C3%B8yere+niv%C3%A5
Can,Cand.real.-utdanning+matematikk
Tre,Tre-+metall-+og+glassh%C3%A5ndverk+uspesifisert+videreg%C3%A5ende+grunnutdanning
Mas,Master+kultur-+og+id̩studier+to%C3%A5rig
Gru,Gruvedrift+og+utvinning+uspesifisert+lavere+niv%C3%A5
Mag,Mag.scient.-utdanning+geologi
Mas,Master+of+Philosophy+geophysics+to%C3%A5rig
Mar,Markedsf%C3%B8ring+uspesifisert+lavere+niv%C3%A5
Sti,Stipendiatprogram+for+kunstnerisk+utviklingsarbeid
Tan,Tannteknikk+uspesifisert+h%C3%B8yere+niv%C3%A5
Rea,Realfag+Vg3+grunnkompetanse
Ser,Servicemanagement+ett%C3%A5rig+p%C3%A5bygging
Lit,Litteratur+og+samfunn+videreutdanning
Mes,Mesterstudium+kunstfag+ett%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+drift+og+vedlikehold+av+EDB-systemer+to%C3%A5rig
Ind,Industriell+trehusproduksjon+VK+II
Bac,Bachelor+Den+norske+filmskolen+tre%C3%A5rig
Sj%C3%B8,Sj%C3%B8matproduksjon+Vg3
Bac,Bachelor+skuespillerutdanning+tre%C3%A5rig
Kan,Kandidatstudium+folkehelsevitenskap+(Master+of+Public+Health)
Hom,Homeopatutdanning
Mas,Master+arealplanlegging+og+eiendomsfag+fem%C3%A5rig
Fly,Flysystemavionikerfaget+VK+III
Bac,Bachelor+grafisk+design+tre%C3%A5rig
Fag,Fagl%C3%A6rerutdanning+musikk+to%C3%A5rig
Mas,Master+of+Philosophy+historie
P%C3%A5b,P%C3%A5byggingsstudium+for+ingeni%C3%B8rer+med+to+%C3%A5rs+utdanning+ett%C3%A5rig
Fag,Fagskoleutdanning+grafisk+design+to%C3%A5rig
Bac,Bachelor+luftfartsfag+tre%C3%A5rig
Mas,Master+teknologi+geofag+og+petroleumsteknologi+to%C3%A5rig
Bac,Bachelor+materialvitenskap+for+energi-+og+nanoteknologi+tre%C3%A5rig
Tra,Translat%C3%B8rutdanning+ett%C3%A5rig+p%C3%A5bygging
Bac,Bachelor+oversetting+og+fagspr%C3%A5k+fransk+tre%C3%A5rig
Utv,Utvekslingsprogrammer
Mas,Master+urbanisme+1+5-%C3%A5rig
Mag,Mag.art.-utdanning+pedagogikk
Ph.,Ph.d.-program+teknisk+kybernetikk
St%C3%B8,St%C3%B8perifaget+Vg3
All,Allmenn-%2Fgrunnskolel%C3%A6rerutdanning+annen+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Fag,Fagskoleutdanning+mote+-+design+og+modellisme
Dra,Drama%2Fteater+videreutdanning+for+l%C3%A6rere
Fag,Fagskoleutdanning+anlegg+to%C3%A5rig
Dr.,Dr.oecon.-utdanning+%C3%B8konomisk-administrative+fag
Tak,Taksidermist+VK+I
H%C3%B8g,H%C3%B8gskolekandidat+metall+tre%C3%A5rig
L%C3%A6r,L%C3%A6rerutdanning+og+utdanning+i+pedagogikk+annen+uspesifisert+h%C3%B8yere+niv%C3%A5
Dip,Diplom%C3%B8konom+forretningsjus
Fol,Folkekunst+lavere+niv%C3%A5
Mas,Master+offentlig+administrasjon+to%C3%A5rig
Fag,Fagskoleutdanning+arborist
Mas,Master+plantevitenskap+to%C3%A5rig
Fag,Fagskoleutdanning+drift-+og+supportteknikk+ett%C3%A5rig
Can,Cand.philol.-utdanning+religionshistorie
Rud,Rudolf+Steinerh%C3%B8gskolen+l%C3%A6rerutdanning+to%C3%A5rig
Bac,Bachelor+fjernsynsregi+tre%C3%A5rig
Ph.,Ph.d.-program+husdyr-+og+akvakulturvitenskap
Siv,Sivilingeni%C3%B8rutdanning+industriell+milj%C3%B8teknologi
Tek,Teknisk+fagskole+linje+for+kjemi+og+prosess+to%C3%A5rig
Mas,Master+lingvistikk+to%C3%A5rig
Can,Cand.philol.-utdanning+kristendomskunnskap+med+religions-+og+livssynsl%C3%A6re
Fag,Fagskoleutdanning+prosjektledelse+ett%C3%A5rig
Fly,Flygelederutdanning+to%C3%A5rig
Fag,Fagskoleutdanning+skipsoffiser+nautisk+linje+-+kystskipper+halv%C3%A5rig
Dan,Danse-+og+ballettutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Fag,Fagskoleutdanning+dans
Rei,Reiselivsfag+uspesifiserte+forskerutdanning
H%C3%B8g,H%C3%B8gskolekandidat+nautisk+studium+tre%C3%A5rig
Pra,Praktisk-pedagogisk+utdanning+uspesifisert+videreg%C3%A5ende+avsluttende+utdanning
Mag,Mag.art.-utdanning+kunsthistorie
Mas,Master+journalistikk+to%C3%A5rig
Bac,Bachelor+havbruksdrift+og+ledelse+tre%C3%A5rig
Mag,Mag.art.-utdanning+finsk-ugrisk+spr%C3%A5kvitenskap
Tan,Tannhelsefag+andre+uspesifiserte+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mat,Matematikk+og+statistikk+andre+uspesifiserte+videreg%C3%A5ende+avsluttende+utdanning
Can,Cand.philol.-utdanning+norsk+som+fremmedspr%C3%A5k
Mas,Master+kjemi+to%C3%A5rig
Vid,Videreutdanning+for+radiografer+str%C3%A5leterapi
Fag,Fagskoleutdanning+teater+to%C3%A5rig
Kul,Kulturutdanning+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+kundeorientering+og+relasjonsledelse+tre%C3%A5rig
Can,Cand.scient.-utdanning+naturvitenskapelige+og+tekniske+fag+uoppgitt+faggruppe
Dip,Diplom%C3%B8konom+informasjonsteknologi
Fly,Flysystemmekanikerfaget+Vg4
H%C3%B8g,H%C3%B8gskoleingeni%C3%B8rutdanning+praktisk+%C3%B8konomi+og+ledelse+tre%C3%A5rig
L%C3%A6r,L%C3%A6rerutdanning+og+utdanning+i+pedagogikk+annen+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Bac,Bachelor+fortelling+og+kommunikasjon+tre%C3%A5rig
Dr.,Dr.agric.-utdanning+gartneri+og+hagebruk
H%C3%B8g,H%C3%B8gskolekandidat+kommunal+%C3%B8konomi+og+ledelse+tre%C3%A5rig
Tek,Tekstil-+og+skinnproduksjon+uspesifisert+p%C3%A5bygging+til+videreg%C3%A5ende+utdanning
Mas,Master+verdibasert+ledelse+to%C3%A5rig
H%C3%B8g,H%C3%B8gskolekandidat+friluftsliv+kultur-+og+naturrettledning+to%C3%A5rig
Mus,Musikk+dans+og+drama+Vg1+grunnkompetanse
Fag,Fagskoleutdanning+demensomsorg+og+alderspsykiatri+ett%C3%A5rig
Sam,Samisk+lavere+niv%C3%A5
Ser,Serigrafifaget+Vg3
For,Forfatterutdanning+uspesifisert+h%C3%B8yere+niv%C3%A5
Mas,Master+of+Laws+information+and+communication+Technology+Law
Mas,Master+bioinformatikk+to%C3%A5rig
Bac,Bachelor+milj%C3%B8forvaltning+tre%C3%A5rig
Mat,Matematikk+videreutdanning+for+l%C3%A6rere
Bac,Bachelor+tekniske+fag+tre%C3%A5rig
Mas,Master+Europa-studier+to%C3%A5rig
