KOMPETANSETYPEAHEAD,KOMPETANSE
Bet,Betong
Bet,Betongarbeid
Bet,Betongfag+(AMO)
Bet,Betongr%C3%B8r
Bet,Betongvareproduksjon
Bib,Bibliotekarbeid
Bic,Bichelamar%2FBislama
Bih,Biharisk
Bil,Bilforretning
Bil,Billakkererfaget+(AMO)
Bil,Bilvask
Bio,Biologi
Bio,Biologi+mm
Bio,Biopati
Bli,Blindeskrift
Blo,Blodbankvirksomhet
Blo,Blodpr%C3%B8ver
Blo,Blomsterbutikk
Blo,Blomsterdekorat%C3%B8r+(AMO)
Bl%C3%B8,Bl%C3%B8gging
Bok,Bokm%C3%A5l
Bol,Bolk+0++L%C3%86remateriell
Bol,Bolk+0++L%C3%86remidler
Bol,Bolk+0++L%C3%86remidler
Bol,Bolk+0++L%C3%86remidler
Bol,Bolk+0++L%C3%86remidler
Bol,Bolk+0+L%C3%86remateriell
Bol,Bolk+1++Bruker+og+driftst%C3%B8tte++5+uker
Bol,Bolk+1++Drift+og+oppf%C3%B8lging++5+uker
Bol,Bolk+1++Etablering+av+bedrift++4+uker
Bol,Bolk+1++Helsefremmende+arbeid++8+uker
Bol,Bolk+1++Helsefremmende+arbeid++8+uker
Bol,Bolk+1++Markedsf%C3%B8ring+og+salg++5+uker
Bol,Bolk+2++Drift+og+vedlikehold++5+uker
Bol,Bolk+2++Kommunikasjon+og+samhandling++5+uker+
Bol,Bolk+2++Kommunikasjon+og+samhandling++6+uker
Bol,Bolk+2++Kommunikasjon+og+service++4+uker
Bol,Bolk+2++Salg+og+markedsf%C3%B8ring++4+uker
Bol,Bolk+2++Sikkerhet++4+uker
Bol,Bolk+3++Planlegging++5+uker
Bol,Bolk+3++Vertskapsrollen++6+uker
Bol,Bolk+3++Virksomhetsst%C3%B8tte++4+uker
Bol,Bolk+3++Yrkesut%C3%B8velse++5+uker
Bol,Bolk+3++Yrkesut%C3%B8velse++6+uker
Bol,Bolk+3++%C3%B8konomi+og+adminsitrasjon++5+uker
Bol,Bolk+4++Prosjekt+til+fordypning++5+uker
Bol,Bolk+4++Prosjekt+til+fordypning++7+uker
Bol,Bolk+4++Prosjekt+til+fordypning++7+uker
Bol,Bolk+4++Prosjekt+til+fordypning++7+uker
Bol,Bolk+4++Prosjekt+til+fordypning++7+uker
Bol,Bolk+4++Prosjekt+til+fordypning++9+uker
Bol,Bolk+5++Eksamen
Bol,Bolk+5++Praksisplass
Bol,Bolk+5++Praksisplass
Bol,Bolk+5++Praksisplass
Bol,Bolk+6++Eksamen
Bol,Bolk+6++Eksamen
Bol,Bolk+6++Eksamen
Bom,Bomvaktarbeid
Bon,Bono
Bor,Boredekkserfaring
Bor,Borefart%C3%B8y
Bor,Borevogn
Bos,Bosnisk
Bra,Brann+og+redning
Bra,Bransje
Bro,Brokran
Bro,Brosteinsarbeid
Bru,Bruk+av+datamaskiner+operativsystem
Bry,Bryggeriarbeid
Br%C3%B8,Br%C3%B8nnteknikk+(AMO)
Bud,Bud
Bud,Budsjettarbeid
Bul,Bulgarsk
Bul,Bulkfart%C3%B8y
Bul,Bulldozer
Bun,Buntmakerfaget+(AMO)
Bur,Burmesisk
Bus,Bushman
But,Butikk
But,Butikkarbeid
But,Butikkmedarbeider+(AMO)
Byg,Bygg+og+anlegg
Byg,Bygge-+og+anleggsvirksomhet+(bransje)
Byg,Byggfag+(AMO)
Byg,Byggfag+andre+(AMO)
Byg,Byggteknikk
Byg,Byggteknisk+arbeid
Byg,Byggteknisk+arbeid+generelt
Byp,Byplanlegging
Byp,Byplanlegging+mm
B%C3%A5t,B%C3%A5tbygging
B%C3%B8r,B%C3%B8rsemaker+(AMO)
B%C3%B8t,B%C3%B8ting
CNC,CNC
Can,Cand.+agric.
Can,Cand.+jur.
Can,Cand.+mag.+(eksamen+av+lavere+grad)
Can,Cand.+med.
Can,Cand.+musicae
Can,Cand.+odont.
Can,Cand.+oecon.
Can,Cand.+paed.+spec.
Can,Cand.+paed.eller+cand.ed.
Can,Cand.+pharm.
Can,Cand.+philol.
Can,Cand.+polit.
Can,Cand.+psychol.
Can,Cand.+san.
Can,Cand.+scient.
Can,Cand.+sociol.
Can,Cand.+socion.
Can,Cand.+techn.
Can,Cand.+theol.
Cat,Catering
Ceb,Cebuano
Cel,Cellebiologi
Chi,Chichewa
Chi,Chishona%2FKorekore
Cob,Cobol
Con,Containerkran
Cot,Cotokali
Dag,Dagbani
Dag,Dagbrudd
Dag,Dagligvarer
Dan,Dans
Dan,Dans+(AMO)
Dan,Dans+generelt
Dan,Dansk
Dar,Darisk%2FPersisk
Dat,Database
Dat,Databaser
Dat,Databaser+diverse
Dat,Datakompetanse
Dat,Datakort+%2F+IT-kompetanse
Dat,Datakortet+(AMO)
Dat,Datastyrt+lagerarbeid
Dat,Datateknikk
Dat,Datateknikk+mm
Dek,Dekorering
Dek,Dekorering+generelt
Del,Delkompetanse
Den,Dendisk%2FDendi
Det,Detaljetegninger
Die,Diettmat
Dig,Digital+foto
Dik,Diktafon
Dik,Diktat
Din,Dinka
Dip,Diplommarkedsf%C3%B8rer
Dip,Diplom%C3%B8konom
Div,Divehi%2FMaldivisk
Div,Diverse+h%C3%B8yskolekurs+(AMO)
Dog,Dogon
Dok,Doktorgrad+eller+tilsvarende
Dok,Dokumentkontroll
Dra,Drama
Dra,Drama+(AMO)
Dra,Drama+og+teaterarbeid
Dre,Drenering
Duo,Duodji
Duo,Duodji+(AMO)
Dyu,Dyula%2FDioula
Dzo,Dzongka%2FBhutanisk
D%C3%B8r,D%C3%B8rvakttjeneste
EMC,EMC-m%C3%A5leteknikk
EMI,EMI-m%C3%A5leteknikk
Efi,Efik-Ibibio
Eie,Eiendom
Ekk,Ekkolodd
Eks,Eksamensvakttjenester
Eks,Eksport%2Fimport
Eks,Ekstern+jobbklubb+(AMO)
Ele,Elektrisitets-+gass-+damp-+og+varmtvannsforsyning+(bransje)
Ele,Elektro
Ele,Elektro+(AMO)
Ele,Elektrofag+(AMO)
Ele,Elektrofag+andre+(AMO)
Ele,Elektroindustri+(bransje)
Ele,Elektromekaniske+fag+(AMO)
Ele,Elektronikk
Ele,Elektronikk+(AMO)
Ele,Elektronikkarbeid
Ele,Elektronikkindustrien
Ele,Elektroteknisk+arbeid
Elk,Elkraftteknikk
Elv,Elverk
Ene,Energi
Eng,Engelsk
Ens,Ensemble
Erg,Ergoterapi
Esk,Eskimoisk%2FInuitisk
Est,Estetiske+fag
Est,Estnisk
